name,family,num_qubits,method,routing_score,swap_count,swap_count_source,terminal_objective,routing_time_sec,runtime,evaluating_router,original_num_qubits,original_gate_count_all,original_1q_count_all,original_2q_count_all,original_cnot_count_all,original_depth,routed_gate_count_all,routed_1q_count_all,routed_2q_count_all,routed_cnot_raw_count,routed_cnot_equiv_count,routed_swap_count,routed_depth,additional_gates_total,additional_1q_total,additional_2q_total,additional_swap_count,additional_cnot_equiv_from_swap,depth_overhead,mode
ising_model_10,ising_model,16,trivial,33.0,33.0,exact_swap_ops,33.0,0.011397599941119552,0.011397599941119552,qiskit_sabre,16.0,700.0,610.0,90.0,90.0,92.0,733.0,610.0,123.0,90.0,189.0,33.0,120.0,33.0,0.0,33.0,33.0,99.0,28.0,
ising_model_10,ising_model,16,dense,57.0,57.0,exact_swap_ops,57.0,0.008744799997657537,0.008744799997657537,qiskit_sabre,16.0,700.0,610.0,90.0,90.0,92.0,757.0,610.0,147.0,90.0,261.0,57.0,223.0,57.0,0.0,57.0,57.0,171.0,131.0,
ising_model_10,ising_model,16,random_best,58.0,58.0,exact_swap_ops,58.0,0.007140100002288818,0.007140100002288818,qiskit_sabre,16.0,700.0,610.0,90.0,90.0,92.0,758.0,610.0,148.0,90.0,264.0,58.0,119.0,58.0,0.0,58.0,58.0,174.0,27.0,
ising_model_10,ising_model,16,sabre_layout,0.0,0.0,exact_swap_ops,0.0,0.010512699838727713,0.010512699838727713,qiskit_sabre,16.0,700.0,610.0,90.0,90.0,92.0,700.0,610.0,90.0,90.0,90.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,
ising_model_10,ising_model,16,rl+beam+tabu,6.0,6.0,,,0.0069818999618291855,,qiskit_sabre,16.0,700.0,610.0,90.0,90.0,92.0,706.0,610.0,96.0,90.0,108.0,6.0,157.0,6.0,0.0,6.0,6.0,18.0,65.0,beam8_tabu
aj-e11_168,aj-e11,4,trivial,18.0,18.0,exact_swap_ops,18.0,0.00601359992288053,0.00601359992288053,qiskit_sabre,4.0,80.0,48.0,32.0,32.0,59.0,98.0,48.0,50.0,32.0,86.0,18.0,84.0,18.0,0.0,18.0,18.0,54.0,25.0,
aj-e11_168,aj-e11,4,dense,19.0,19.0,exact_swap_ops,19.0,0.0061114998534321785,0.0061114998534321785,qiskit_sabre,4.0,80.0,48.0,32.0,32.0,59.0,99.0,48.0,51.0,32.0,89.0,19.0,73.0,19.0,0.0,19.0,19.0,57.0,14.0,
aj-e11_168,aj-e11,4,random_best,18.0,18.0,exact_swap_ops,18.0,0.005940000060945749,0.005940000060945749,qiskit_sabre,4.0,80.0,48.0,32.0,32.0,59.0,98.0,48.0,50.0,32.0,86.0,18.0,83.0,18.0,0.0,18.0,18.0,54.0,24.0,
aj-e11_168,aj-e11,4,sabre_layout,13.0,13.0,exact_swap_ops,13.0,0.005801900057122111,0.005801900057122111,qiskit_sabre,4.0,80.0,48.0,32.0,32.0,59.0,93.0,48.0,45.0,32.0,71.0,13.0,75.0,13.0,0.0,13.0,13.0,39.0,16.0,
aj-e11_168,aj-e11,4,rl+beam+tabu,9.0,14.0,,,0.0057743999641388655,,qiskit_sabre,4.0,80.0,48.0,32.0,32.0,59.0,94.0,48.0,46.0,32.0,74.0,14.0,86.0,14.0,0.0,14.0,14.0,42.0,27.0,beam8_tabu
random_12_0285,random,12,trivial,44.0,44.0,exact_swap_ops,44.0,0.006879500113427639,0.006879500113427639,qiskit_sabre,12.0,421.0,399.0,22.0,22.0,52.0,465.0,399.0,66.0,22.0,154.0,44.0,97.0,44.0,0.0,44.0,44.0,132.0,45.0,
random_12_0285,random,12,dense,29.0,29.0,exact_swap_ops,29.0,0.006780500058084726,0.006780500058084726,qiskit_sabre,12.0,421.0,399.0,22.0,22.0,52.0,450.0,399.0,51.0,22.0,109.0,29.0,145.0,29.0,0.0,29.0,29.0,87.0,93.0,
random_12_0285,random,12,random_best,43.0,43.0,exact_swap_ops,43.0,0.006072899792343378,0.006072899792343378,qiskit_sabre,12.0,421.0,399.0,22.0,22.0,52.0,464.0,399.0,65.0,22.0,151.0,43.0,121.0,43.0,0.0,43.0,43.0,129.0,69.0,
random_12_0285,random,12,sabre_layout,5.0,5.0,exact_swap_ops,5.0,0.006628999952226877,0.006628999952226877,qiskit_sabre,12.0,421.0,399.0,22.0,22.0,52.0,426.0,399.0,27.0,22.0,37.0,5.0,82.0,5.0,0.0,5.0,5.0,15.0,30.0,
random_12_0285,random,12,rl+beam+tabu,7.0,11.0,,,0.006476999958977103,,qiskit_sabre,12.0,421.0,399.0,22.0,22.0,52.0,432.0,399.0,33.0,22.0,55.0,11.0,82.0,11.0,0.0,11.0,11.0,33.0,30.0,beam8_tabu
grover_28_0031,grover,28,trivial,309.0,309.0,exact_swap_ops,309.0,0.010109300026670098,0.010109300026670098,qiskit_sabre,28.0,1380.0,1263.0,117.0,117.0,98.0,1689.0,1263.0,426.0,117.0,1044.0,309.0,326.0,309.0,0.0,309.0,309.0,927.0,228.0,
grover_28_0031,grover,28,dense,281.0,281.0,exact_swap_ops,281.0,0.00777829997241497,0.00777829997241497,qiskit_sabre,28.0,1380.0,1263.0,117.0,117.0,98.0,1661.0,1263.0,398.0,117.0,960.0,281.0,336.0,281.0,0.0,281.0,281.0,843.0,238.0,
grover_28_0031,grover,28,random_best,280.0,280.0,exact_swap_ops,280.0,0.008179800119251013,0.008179800119251013,qiskit_sabre,28.0,1380.0,1263.0,117.0,117.0,98.0,1660.0,1263.0,397.0,117.0,957.0,280.0,272.0,280.0,0.0,280.0,280.0,840.0,174.0,
grover_28_0031,grover,28,sabre_layout,127.0,127.0,exact_swap_ops,127.0,0.007787800161167979,0.007787800161167979,qiskit_sabre,28.0,1380.0,1263.0,117.0,117.0,98.0,1507.0,1263.0,244.0,117.0,498.0,127.0,198.0,127.0,0.0,127.0,127.0,381.0,100.0,
grover_28_0031,grover,28,rl+beam+tabu,214.0,214.0,,,0.008551499806344509,,qiskit_sabre,28.0,1380.0,1263.0,117.0,117.0,98.0,1594.0,1263.0,331.0,117.0,759.0,214.0,273.0,214.0,0.0,214.0,214.0,642.0,175.0,beam8_tabu
random_24_0327,random,24,trivial,63.0,63.0,exact_swap_ops,63.0,0.008664200082421303,0.008664200082421303,qiskit_sabre,24.0,1418.0,1396.0,22.0,22.0,74.0,1481.0,1396.0,85.0,22.0,211.0,63.0,159.0,63.0,0.0,63.0,63.0,189.0,85.0,
random_24_0327,random,24,dense,33.0,33.0,exact_swap_ops,33.0,0.009550000075250864,0.009550000075250864,qiskit_sabre,24.0,1418.0,1396.0,22.0,22.0,74.0,1451.0,1396.0,55.0,22.0,121.0,33.0,190.0,33.0,0.0,33.0,33.0,99.0,116.0,
random_24_0327,random,24,random_best,40.0,40.0,exact_swap_ops,40.0,0.009022700134664774,0.009022700134664774,qiskit_sabre,24.0,1418.0,1396.0,22.0,22.0,74.0,1458.0,1396.0,62.0,22.0,142.0,40.0,213.0,40.0,0.0,40.0,40.0,120.0,139.0,
