name,family,num_qubits,method,swap_count,swap_count_source,routing_score,terminal_objective,routing_time_sec,runtime,evaluating_router,original_num_qubits,original_gate_count_all,original_1q_count_all,original_2q_count_all,original_cnot_count_all,original_depth,routed_gate_count_all,routed_1q_count_all,routed_2q_count_all,routed_swap_count,routed_cnot_raw_count,routed_cnot_equiv_count,routed_depth,additional_gates_total,additional_1q_total,additional_2q_total,additional_swap_count,additional_cnot_equiv_from_swap,depth_overhead
ising_model_10,ising_model,16,qiskit_sabre_full,0.0,exact_swap_ops,0.0,0.0,0.00919190002605319,0.00919190002605319,qiskit_sabre_full,16.0,700.0,610.0,90.0,90.0,92.0,700.0,610.0,90.0,0.0,90.0,90.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
aj-e11_168,aj-e11,4,qiskit_sabre_full,15.0,exact_swap_ops,15.0,15.0,0.005879400065168738,0.005879400065168738,qiskit_sabre_full,4.0,80.0,48.0,32.0,32.0,59.0,95.0,48.0,47.0,15.0,32.0,77.0,77.0,15.0,0.0,15.0,15.0,45.0,18.0
random_12_0285,random,12,qiskit_sabre_full,8.0,exact_swap_ops,8.0,8.0,0.007432000013068318,0.007432000013068318,qiskit_sabre_full,12.0,421.0,399.0,22.0,22.0,52.0,429.0,399.0,30.0,8.0,22.0,46.0,83.0,8.0,0.0,8.0,8.0,24.0,31.0
grover_28_0031,grover,28,qiskit_sabre_full,73.0,exact_swap_ops,73.0,73.0,0.009288799948990345,0.009288799948990345,qiskit_sabre_full,28.0,1380.0,1263.0,117.0,117.0,98.0,1453.0,1263.0,190.0,73.0,117.0,336.0,187.0,73.0,0.0,73.0,73.0,219.0,89.0
random_24_0327,random,24,qiskit_sabre_full,5.0,exact_swap_ops,5.0,5.0,0.006734699942171574,0.006734699942171574,qiskit_sabre_full,24.0,1418.0,1396.0,22.0,22.0,74.0,1423.0,1396.0,27.0,5.0,22.0,37.0,116.0,5.0,0.0,5.0,5.0,15.0,42.0
clip_206,clip,16,qiskit_sabre_full,10386.0,exact_swap_ops,10386.0,10386.0,0.2479420001618564,0.2479420001618564,qiskit_sabre_full,16.0,42267.0,27495.0,14772.0,14772.0,21691.0,52653.0,27495.0,25158.0,10386.0,14772.0,45930.0,38603.0,10386.0,0.0,10386.0,10386.0,31158.0,16912.0
qaoa_24_0224,qaoa,24,qiskit_sabre_full,51.0,exact_swap_ops,51.0,51.0,0.014388500014320016,0.014388500014320016,qiskit_sabre_full,24.0,687.0,549.0,138.0,138.0,86.0,738.0,549.0,189.0,51.0,138.0,291.0,120.0,51.0,0.0,51.0,51.0,153.0,34.0
hea_32_0274,hea,32,qiskit_sabre_full,39.0,exact_swap_ops,39.0,39.0,0.00894180010072887,0.00894180010072887,qiskit_sabre_full,32.0,1884.0,1760.0,124.0,124.0,92.0,1923.0,1760.0,163.0,39.0,124.0,241.0,178.0,39.0,0.0,39.0,39.0,117.0,86.0
mod5adder_128,mod5adder,6,qiskit_sabre_full,30.0,exact_swap_ops,30.0,30.0,0.006565300049260259,0.006565300049260259,qiskit_sabre_full,6.0,241.0,155.0,86.0,86.0,175.0,271.0,155.0,116.0,30.0,86.0,176.0,210.0,30.0,0.0,30.0,30.0,90.0,35.0
inc_237,inc,16,qiskit_sabre_full,3059.0,exact_swap_ops,3059.0,3059.0,0.08037410001270473,0.08037410001270473,qiskit_sabre_full,16.0,13267.0,8631.0,4636.0,4636.0,7140.0,16326.0,8631.0,7695.0,3059.0,4636.0,13813.0,11930.0,3059.0,0.0,3059.0,3059.0,9177.0,4790.0
rd73_252,rd73,16,qiskit_sabre_full,1571.0,exact_swap_ops,1571.0,1571.0,0.04398910002782941,0.04398910002782941,qiskit_sabre_full,16.0,6645.0,4326.0,2319.0,2319.0,3439.0,8216.0,4326.0,3890.0,1571.0,2319.0,7032.0,6019.0,1571.0,0.0,1571.0,1571.0,4713.0,2580.0
grover_20_0164,grover,20,qiskit_sabre_full,43.0,exact_swap_ops,43.0,43.0,0.007802700158208609,0.007802700158208609,qiskit_sabre_full,20.0,672.0,618.0,54.0,54.0,51.0,715.0,618.0,97.0,43.0,54.0,183.0,102.0,43.0,0.0,43.0,43.0,129.0,51.0
alu-v2_31,alu-v2,16,qiskit_sabre_full,115.0,exact_swap_ops,115.0,115.0,0.010380499996244907,0.010380499996244907,qiskit_sabre_full,16.0,563.0,365.0,198.0,198.0,319.0,678.0,365.0,313.0,115.0,198.0,543.0,524.0,115.0,0.0,115.0,115.0,345.0,205.0
rd53_311,rd53,16,qiskit_sabre_full,79.0,exact_swap_ops,79.0,79.0,0.011493199970573187,0.011493199970573187,qiskit_sabre_full,16.0,339.0,215.0,124.0,124.0,158.0,418.0,215.0,203.0,79.0,124.0,361.0,258.0,79.0,0.0,79.0,79.0,237.0,100.0
sym6_145,sym6,16,qiskit_sabre_full,1027.0,exact_swap_ops,1027.0,1027.0,0.03125560004264116,0.03125560004264116,qiskit_sabre_full,16.0,4860.0,3159.0,1701.0,1701.0,2675.0,5887.0,3159.0,2728.0,1027.0,1701.0,4782.0,4512.0,1027.0,0.0,1027.0,1027.0,3081.0,1837.0
hea_16_0225,hea,16,qiskit_sabre_full,0.0,exact_swap_ops,0.0,0.0,0.006716200150549412,0.006716200150549412,qiskit_sabre_full,16.0,429.0,384.0,45.0,45.0,43.0,429.0,384.0,45.0,0.0,45.0,45.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
